t,STAT3_Obs,tpSTAT3_Obs,nSOCS3RNA1_Obs,Compound_2_Obs,Compound_4_Obs
0,25.4229063462891,0.696667125044444,-0.00027837028723452,1.23531837809889,73.9257860194303
15,NaN,NaN,NaN,NaN,99.8647786663163
20,18.9599313223987,4.79890220256964,NaN,5.47442239462384,NaN
25,NaN,NaN,0.00947015674523851,NaN,NaN
35,17.6352267572923,NaN,NaN,NaN,110.464638585995
40,NaN,4.63426871179072,NaN,5.72675336357999,NaN
50,NaN,NaN,0.00780378641722084,NaN,108.088182922544
55,17.9685723425337,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,5.57922129332432,NaN
65,NaN,4.53366529314224,NaN,NaN,NaN
70,NaN,NaN,NaN,NaN,115.450227698752
75,18.95515572383,NaN,NaN,NaN,NaN
80,NaN,NaN,0.0082740670161432,5.55850286772891,NaN
85,NaN,4.53549803998895,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,118.033141092549
95,20.3454636086254,NaN,NaN,NaN,NaN
100,20.6640024518695,4.1341003844504,0.00853118359480149,5.39446853331931,115.180441753045
150,19.362429827522,4.4911873344796,0.00803590077688951,4.76902568309094,93.653615045136
200,19.6420891263026,4.71763035565665,0.00814043095089652,5.42966958726053,105.126380724765
250,19.5121690596062,3.91808827643025,0.00783122207714587,4.96618481849804,119.252441119673
300,21.4709102322412,4.38520573288985,0.00777490878199445,5.44165167408214,NaN
350,NaN,3.81767324206693,0.00742786650561416,4.62860333704102,106.16518391391
400,18.9125780545046,NaN,NaN,5.08541654673996,NaN
450,NaN,3.77914789899531,0.00810271261489586,NaN,NaN
