t,tpSTAT3_Obs,Compound_2_Obs,Compound_4_Obs
0,0.765731981018234,1.06140712376085,66.293371014042
15,9.03273064455589,9.84449231525517,148.074271952179
30,NaN,NaN,148.868729954672
35,8.67920604125539,9.33313328671535,NaN
50,NaN,NaN,139.682965560281
55,8.23513707528908,9.51556635077611,NaN
65,NaN,NaN,132.45916067833
70,NaN,8.77090120927936,NaN
75,8.22515566959504,NaN,NaN
85,NaN,NaN,157.965606659188
90,NaN,9.47055742100619,NaN
95,7.90797391688435,NaN,NaN
100,6.97065767409861,9.60291159086764,145.464882777494
150,7.67326060355245,8.46709288006298,138.496951456546
200,7.66231591145898,7.42600191544222,130.910077158978
250,6.34519273806746,6.36996416207457,132.48484573669
300,5.6652968109866,6.19857037236418,134.44511797452
350,NaN,NaN,120.675815026697
400,5.06732398781415,4.82718573600199,97.7010426353385
450,4.67764870435673,4.87787875968153,NaN
