t,STAT3_Obs,tpSTAT3_Obs,nSOCS3RNA1_Obs,Compound_2_Obs,Compound_4_Obs
0,26.2035864072686,0.80405755911571,0.00265698124074752,0.286784740805742,64.2725286273921
15,NaN,NaN,NaN,10.2622865946134,132.087326883156
20,16.755946561997,8.38580716513253,0.0196680547854827,NaN,NaN
30,NaN,NaN,NaN,NaN,159.732730537112
35,NaN,NaN,NaN,9.30953223134367,NaN
40,14.1834274267551,8.12468854298168,NaN,NaN,NaN
45,NaN,NaN,0.0169182243840034,NaN,NaN
50,NaN,NaN,NaN,NaN,142.871476712438
55,NaN,NaN,NaN,9.49954228276729,NaN
60,14.0901840454447,NaN,NaN,NaN,NaN
65,NaN,7.41536011440117,0.0150405040068971,NaN,129.467010825105
75,NaN,NaN,NaN,8.25461093657785,NaN
85,13.3226872445319,NaN,NaN,NaN,139.13161195587
90,NaN,7.67001808879503,0.0160469120364648,NaN,NaN
95,NaN,NaN,NaN,8.26101416430085,NaN
100,15.2948697162349,8.08699499488171,0.0145475811307831,8.43989547619853,130.828280126303
150,14.4760345657676,7.46192299896,0.0149608808679299,6.96339912734092,117.450586709746
200,15.7917937965936,7.06642946370767,0.0125019949118361,6.86668092048461,134.482770067674
250,15.7386309960654,7.68134830064265,0.0123856282203881,6.6846811563585,142.289491804011
300,17.6884862735361,5.72988851165384,0.0129424076643614,6.50666619576728,127.261163445719
350,18.150577446378,6.36183164728459,0.0132510849084905,6.92342385135461,120.106905531662
400,14.791002792701,6.0491012250948,NaN,NaN,NaN
450,NaN,NaN,0.0118084972036952,NaN,NaN
