t,input_il6,tpSTAT3_Obs,Compound_2_Obs
12,0,-0.0589330484157212,1.2884444110574
12,0,0.803358780909989,1.36237516274364
12,0,0.953448815068515,2.18712611935535
12,15,4.33397609345881,7.05402727341342
12,15,4.46460082988176,5.54199040456085
12,15,5.25650113330158,5.83369147388811
12,30,7.16910561542847,8.41236086273097
12,30,7.45125963317775,7.80626542616195
12,30,7.93030834325989,7.110826445237
12,60,7.42974530888514,9.60915159247097
12,60,8.37333279250028,8.57956645489443
12,60,9.08808991515629,8.78763407358647
12,120,9.40127704299741,11.1682185404232
12,120,9.44943434945234,9.49279788731999
12,120,9.70478018413406,9.30773358717396
