t,tpSTAT3_Obs,Compound_2_Obs
0,0.232335491881226,2.02046459262896
15,8.45520610262263,NaN
20,NaN,9.91814813775851
30,7.23326612479703,NaN
40,NaN,8.83268465128606
50,7.49019569685062,NaN
65,7.9664760991825,8.32936192915311
85,7.57519318345757,NaN
90,NaN,7.64290390606088
100,7.26413866331789,7.86302988354342
150,6.68376541821867,7.63812100614892
200,6.55947986685611,7.22668569432864
250,6.88628176169923,6.90052618505477
300,6.12361297683458,NaN
350,6.62189752501402,7.93811934174133
400,NaN,6.4876395379385
