t,input_stattic,tpSTAT3_Obs,Compound_2_Obs
0,0,0.514801514763615,1.12333015654132
0,0,0.500488669444303,1.13820900634129
0,1,0.431386996177749,1.27586291281713
0,1,0.542818231410535,1.32418241736047
0,5,0.544497207711387,1.20685916205332
0,5,0.449778113568245,1.26735188032483
0,10,0.450316734230689,1.13314271825688
0,10,0.506467449806569,1.44445989645148
0,10,0.516341415077154,1.25671246132622
0,10,0.467621654452093,1.38188141047678
0,20,0.544326268629516,1.2635492513892
0,20,0.462566358718736,1.27745784164406
0,50,0.5011325129789,1.36672479876164
0,50,0.407536543648488,1.38434758652452
