t,input_il6,nSOCS3RNA5_Obs,Compound_1_Obs
680,0.1,0.000502394194437604,75.7563356785764
680,0.1,0.00125981768056403,78.5600485085418
680,0.5,0.000461812153735316,65.6948380779256
680,0.5,0.000955072328848086,68.6662303211332
680,1,0.00180076278223159,67.8802953704029
680,1,0.00235395987855516,75.1979058072657
680,2.5,0.00216840563909954,79.0491046713995
680,2.5,0.00346429747449797,89.5120060944672
680,5,0.00466357502116433,90.4307826771663
680,5,0.0065911678316447,97.0220630277297
680,10,0.00681695220509096,91.3478022901394
680,10,0.00730495305710246,91.9176849158723
680,25,0.00927673455448152,125.059333147569
680,25,0.00971920578997968,121.773317751243
680,50,0.0106476776071901,122.881854324525
680,50,0.011522450496272,110.199306136332
680,100,0.0126560328802183,129.79216916737
680,100,0.0129402464841082,137.085375318858
680,500,0.0126952088539939,129.536488327437
680,500,0.0129601823772915,135.220796080284
