t,tpSTAT3_Obs,Compound_2_Obs,Compound_4_Obs
0,0.334669375811281,1.41689673803132,66.850744228324
10,6.53103327723639,7.87375989412273,112.97154709911
20,NaN,7.98753573174499,NaN
25,7.05908356657252,NaN,129.729333561962
30,NaN,8.02897218368259,NaN
35,7.13686165380571,NaN,120.334713040958
45,NaN,6.77079444834655,NaN
50,4.77034086577413,NaN,103.233527086281
55,NaN,4.17319888237992,NaN
65,2.1304205667387,NaN,79.8431301550542
70,NaN,1.92044640565532,NaN
85,0.477471985884878,NaN,74.7013741615223
90,NaN,1.47941977911865,NaN
100,-0.113914573729306,1.28196037928662,67.4350678143361
150,0.642806862956978,1.25760031208254,65.3222314570264
200,NaN,NaN,68.6640438926065
