t,STAT3_Obs,tpSTAT3_Obs,nSOCS3RNA1_Obs,Compound_2_Obs,Compound_4_Obs
0,27.9469468431436,0.757811841040437,0.000879850070021028,1.61517716196288,46.1622057245331
15,NaN,NaN,NaN,7.77606642787914,NaN
20,15.8323737179876,6.67671360707215,NaN,NaN,129.455326448056
25,NaN,NaN,0.0122202044622885,NaN,NaN
30,NaN,NaN,NaN,6.88620054358889,NaN
35,NaN,6.56822383854804,NaN,NaN,120.121396491077
40,17.5781428251311,NaN,NaN,NaN,NaN
50,NaN,NaN,0.0120611822049792,8.0315856042151,NaN
55,NaN,6.21220552589081,NaN,NaN,128.676114123563
60,16.8311057055942,NaN,NaN,NaN,NaN
65,NaN,NaN,NaN,6.57758899842625,NaN
75,NaN,6.20682321687562,0.0124220985640638,NaN,118.151191321124
85,18.9355126926865,NaN,NaN,6.45601636492295,NaN
100,17.9080745061168,5.97640723869581,0.0100675425492252,6.74204184079224,122.335572689626
150,16.9259094365244,5.36518183628819,0.011246984216184,6.0353440652783,104.313495526246
200,17.308104390446,5.72485701716314,0.011052784255429,6.0238573068647,116.90518669988
250,20.0752242568522,5.45906092200338,0.0103178849010688,6.41150744808946,103.968245507992
300,17.0700517158595,5.93767894345225,NaN,5.68471046089303,114.624670964139
350,16.9325658238175,NaN,0.0112707317570581,5.75864500566769,111.618991640435
400,NaN,5.81699852752417,0.00991446407441342,NaN,106.421796557599
450,18.6392045975099,NaN,NaN,NaN,NaN
