t,nSOCS3RNA5_Obs,Compound_1_Obs
0,0.000711692329890703,75.0002481406023
20,0.000649203431380552,73.9096839783221
35,NaN,58.3934523218937
45,0.000586495590187049,NaN
55,NaN,75.8033829749109
65,0.000610512193263615,NaN
80,NaN,62.3993190214886
90,0.000637691360505013,NaN
100,0.00057771598692182,67.716963650161
150,0.000655382626030233,68.8337629738658
200,0.000612501951685894,58.3225377357826
250,0.000670405941963394,74.0347750828542
300,0.000562236618743291,64.6541689579148
350,0.000626459910569993,70.1962111038012
400,0.000685054659872254,NaN
