t,STAT3_Obs,tpSTAT3_Obs,Compound_2_Obs,Compound_4_Obs
0,26.0431688586238,0.495436807089,1.51668600501029,59.2519503488626
9.5,NaN,NaN,8.56389373765879,NaN
10,13.0765669168001,7.50395463658665,NaN,142.840967283587
20,NaN,8.21025456897092,9.08963103994362,127.622713468496
25,17.9145585039718,NaN,NaN,NaN
30,NaN,NaN,5.68457402376628,NaN
35,21.2398019125446,3.32859025831912,NaN,101.775026540681
40,NaN,NaN,3.5641109594692,NaN
45,NaN,1.65049882998729,NaN,71.2054684971801
50,23.2746298970503,NaN,NaN,NaN
55,NaN,NaN,1.69406944995091,NaN
60,NaN,0.823788024338818,NaN,69.623015029216
65,23.3616977209182,NaN,NaN,NaN
70,NaN,NaN,1.68380750273487,NaN
75,NaN,0.869701002479887,NaN,NaN
80,21.1509952815072,NaN,NaN,60.0711042563226
85,NaN,NaN,1.27614664302438,NaN
95,NaN,0.492684275243714,NaN,NaN
100,27.8290518933858,0.67762775784174,1.25554748513426,67.9927964843072
150,22.1045550852951,0.275518378966325,0.759330504431997,67.0564780270624
200,25.2845604874391,NaN,NaN,NaN
