t,tpSTAT3_Obs,Compound_2_Obs,Compound_3_Obs
0,0.0455181569959694,-0.0626373753803886,70.8204024142808
15,9.71703052604895,NaN,134.172223972368
20,NaN,10.5514729190869,NaN
30,9.57343449150178,NaN,NaN
35,NaN,9.98423105186621,148.707312022883
45,9.20765402507235,NaN,NaN
50,NaN,NaN,152.329068828286
55,NaN,9.26495717551979,NaN
65,8.31280479842532,NaN,NaN
70,NaN,NaN,156.824869426936
75,NaN,9.53691901894431,NaN
80,8.75587232310049,NaN,NaN
90,NaN,NaN,145.213669109461
95,NaN,9.87543371657291,NaN
100,8.28727541944178,8.5540465676775,156.353885504873
150,7.7217609423158,8.61591779425727,142.084233941609
200,7.21159415454162,9.36548603628885,157.278469000949
250,7.92029128827293,8.03728707336595,132.893234673425
300,6.88208479068135,8.85164683268195,143.582091551799
350,7.56775239676173,NaN,146.685547731678
400,NaN,7.6317149915923,132.773821878768
