t,tpSTAT3_Obs,Compound_2_Obs,Compound_4_Obs
0,0.534351239039547,1.7448872626422,80.8563924143849
8.5,NaN,NaN,142.472679285514
9,NaN,9.22138957181222,NaN
10,8.27221508000141,NaN,NaN
20,NaN,9.4930286621987,152.978641245536
25,7.19411450475631,NaN,135.597701485317
30,NaN,6.03008753282271,NaN
40,2.91245086969958,3.8428349750315,92.61999417214
50,NaN,2.28910738795512,71.1548914007831
55,1.35433781224031,NaN,NaN
60,NaN,NaN,58.7554267036849
65,NaN,1.65368127394676,NaN
70,0.572355246499314,NaN,NaN
75,NaN,1.36992795196511,NaN
80,NaN,NaN,68.491286506743
90,0.665459139015716,NaN,NaN
95,NaN,1.15189306631309,56.5578835489279
100,0.527022876812159,0.952694705174488,75.6526368198538
150,0.114593016886435,1.24864685477403,69.8626888637076
200,0.496926074841511,NaN,NaN
