t,input_il6,tpSTAT3_Obs,Compound_2_Obs
17,0.1,0.0770126540734175,0.892278771235716
17,0.1,0.358594930850336,1.11777666795335
17,1,0.25799078472266,1.34262669182654
17,1,0.793168785076789,1.35386547391181
17,5,0.868740405720631,1.65934510202701
17,5,1.28391687978585,1.66156728203452
17,10,1.71162513321164,2.59714181031038
17,10,1.86210508152736,3.08503993594087
17,50,5.04369497016712,6.28423622552533
17,50,5.58893694690391,6.02345548752119
17,100,6.37533627253182,7.35017024014144
17,100,6.57046932970109,7.38265055891575
17,500,8.35120511259942,9.07471878439647
17,500,8.86645611879,8.78490374519463
