t,input_ruxolitinib,tpSTAT3_Obs,Compound_2_Obs
21,0,0.522834687305259,1.40619670388281
21,10,-0.0487355420832889,1.13426218917198
21,10,0.271057147422121,0.552392972480796
21,50,0.754903620636172,0.766521791073955
21,100,-0.0660094036784226,0.986758648167872
21,200,0.0647671723963367,0.798811622281371
21,400,0.266314501475103,1.40184284440012
21,500,0.0242024084141377,1.13983939300452
21,500,0.3920996425909,1.83059735430381
21,600,0.712800062961872,1.29441767275383
21,800,0.309903822304053,1.06364806819673
21,1000,0.320430763790558,0.879752903367051
21,2000,0.619945973523148,0.944726909819806
21,5000,0.399057556092668,1.42342058240519
