t,tpSTAT3_Obs,Compound_2_Obs,Compound_4_Obs
0,1.10142233317094,0.351059900470968,68.7860934884706
20,9.68899558105251,10.1880900754445,145.106422587716
40,NaN,8.84275716608101,150.034999520466
45,7.78747160384279,NaN,NaN
60,NaN,NaN,136.601117939301
65,NaN,8.84664798091521,NaN
70,7.92870643063932,NaN,NaN
85,NaN,8.96107685578237,138.112806818471
95,7.54507161328282,NaN,NaN
100,8.48059509598629,7.88190119129951,142.443022204611
150,7.24109785789081,7.4981337518803,129.745581557695
200,7.23149851159729,7.7279085052475,138.778814542101
250,6.5018651533451,7.74073650703559,135.681693508204
300,6.28902589771543,7.19062927941295,99.8141393219347
350,6.38228291107497,6.89682273489934,122.567669355441
450,6.25112825009389,6.6712943583849,114.756018417508
