t,tpSTAT3_Obs,Compound_2_Obs,Compound_4_Obs
0,0.613748593023803,1.46960849545978,61.4334265645301
10,NaN,NaN,140.831908849827
15,6.25678021794821,6.95372752769708,NaN
25,3.21034275163151,NaN,99.3438608299374
30,NaN,2.93044940443493,NaN
35,NaN,NaN,72.1672902641531
40,1.13326647888865,NaN,NaN
45,NaN,1.80152392404793,NaN
50,NaN,NaN,66.5189255257668
55,0.485939026873229,NaN,NaN
65,NaN,1.42488872681303,66.5608807362837
70,0.694919175719393,NaN,NaN
80,NaN,NaN,63.9433157810001
85,NaN,1.16196978700292,NaN
90,0.699173483885529,NaN,NaN
100,0.420252392494256,0.90815798626193,76.1477029744567
150,0.444375901407301,1.1755942720267,68.0222410918717
200,0.471271205268224,1.4804629413232,64.6765328591946
