t,tpSTAT3_Obs,Compound_2_Obs,Compound_4_Obs
0,0.23749234976765,1.13482997995043,62.0413014643616
15,NaN,10.094156172864,156.179772423546
20,9.3329330226668,NaN,NaN
35,NaN,9.58157297990034,157.512275604626
40,9.39033353055742,NaN,NaN
50,NaN,9.03484968886007,131.604432021155
55,10.1392086567267,NaN,NaN
65,NaN,NaN,144.457705436901
70,NaN,8.86709786797205,NaN
80,7.87212791649032,NaN,NaN
85,NaN,8.38351698264826,156.728013493956
100,8.1309026693423,8.76404750475112,136.356122354493
150,6.78199735061519,8.04199274300016,138.253736047532
200,7.45143133879769,7.29110444768533,150.847272536219
250,6.27710963558959,6.52438217137361,139.822312250483
300,5.93629342281906,7.09275993596586,126.206010644567
350,5.06536286362352,6.43350100797618,132.123062795546
400,4.48483606588448,4.86163217299004,98.3283833059687
450,4.62578962783934,4.18694186055024,102.592239455184
