t,tpSTAT3_Obs,Compound_2_Obs,Compound_4_Obs
0,0.465989802869686,1.19009342388661,66.1946103248466
10,7.63766846915805,8.15723164207093,133.195654074843
25,4.51678877372133,5.00858728165876,112.405341792016
35,2.16253155229496,2.97754509911423,82.5389027179723
50,1.17700425757865,1.67907603089905,71.4649399624111
65,0.751594120345995,1.50115854828232,69.2355242134487
80,NaN,1.37089282865725,76.2703207917704
85,0.634644327702678,NaN,NaN
100,0.47115050480634,1.07875921411705,73.4635206213862
150,0.536446126410927,1.34727147972359,72.1935388098711
200,NaN,1.16278698392758,67.1542491861168
