t,tpSTAT3_Obs,Compound_2_Obs,Compound_4_Obs
0,0.775463036135102,0.983218574349204,61.4955293625262
10,7.78084160266871,8.34130163162319,NaN
15,NaN,NaN,153.284053476549
25,7.50019347096087,8.396008222155,130.133474779739
35,NaN,5.1451414256083,NaN
40,3.21815882182024,NaN,103.442675988616
50,NaN,2.42851280514957,NaN
55,1.36415801001255,NaN,NaN
60,NaN,NaN,70.1051803308984
70,0.48345703468239,1.32670491269274,NaN
75,NaN,NaN,77.4292678408061
85,NaN,1.32636742398878,NaN
90,0.447863954170607,NaN,NaN
100,0.330066051131964,1.1550563461885,66.5686113556347
150,0.375188949502729,1.46514334989109,68.7516399570668
200,NaN,NaN,65.6047167021204
