t,STAT3_Obs,tpSTAT3_Obs,Compound_2_Obs,Compound_4_Obs
0,25.2701147952342,0.508756075083879,1.10769257612917,68.6770554519872
9,NaN,NaN,NaN,127.349881226271
10,19.5223645310112,5.79664634694924,6.7007271757294,NaN
20,NaN,NaN,NaN,98.6469759816955
25,21.7395148908093,2.36173137830681,3.09127568097794,NaN
30,NaN,NaN,NaN,80.9114730900279
35,25.970768276973,1.14324178411665,NaN,NaN
40,NaN,NaN,1.82686072179971,70.36606514173
50,26.5349016676494,0.730952548895891,NaN,67.3693576938691
55,NaN,NaN,1.32733582961624,NaN
65,NaN,0.51844109057979,NaN,65.6415132304116
70,25.4675460370662,NaN,1.26745586610147,NaN
80,NaN,NaN,NaN,79.2408091386702
85,25.0565262089467,0.505316188698235,NaN,NaN
90,NaN,NaN,1.46436292763429,NaN
95,NaN,NaN,NaN,72.3274091572725
100,25.4660174502352,0.454796827610378,1.33103463912569,74.6440415711383
150,27.357461392638,0.52569087920409,1.18304853507627,66.3321227638497
200,NaN,0.475051874235505,1.20646832379196,NaN
