t,tpSTAT3_Obs,Compound_2_Obs
0,0.510675661570623,1.27810933821376
20,0.940541279180274,1.75332814444816
35,0.935394104562179,NaN
40,NaN,1.64291652357737
55,0.91811932357404,NaN
65,NaN,1.8143034942172
75,0.887271515910707,NaN
85,NaN,1.94842847024605
100,0.958327750601735,1.70453176311874
150,1.00724217829012,1.60629395421554
200,0.885903573824764,1.70005229750802
250,0.952291117597573,1.8718951390959
300,0.910366109752664,1.64653199948339
350,0.835337412202897,1.57694914863917
450,0.928018926593323,1.89406699966618
