t,input_il6,tpSTAT3_Obs,Compound_2_Obs
17,0,0.588772464622678,2.38952592077551
17,0,0.696244463799889,1.3263637556332
17,5,2.50638482719412,4.81001930923383
17,5,3.90837576401755,3.95496425286605
17,10,4.7936013301874,5.78927882533268
17,10,4.91593474105977,5.8986631273468
17,20,5.98769155591188,6.60547203913584
17,20,6.4335339153341,8.09069001606677
17,40,7.5069099727393,9.0991332393993
17,40,8.48718157550651,8.73208600198253
17,80,8.48907617876826,9.50761980066377
17,80,8.59820395677283,9.98663334892553
17,120,8.50048988238191,8.94398719941832
17,120,9.66722935814517,9.61240639897864
