t,tpSTAT3_Obs,Compound_2_Obs,Compound_4_Obs
0,-0.217307666020841,1.99743372976325,69.4156447135934
9,NaN,9.21517461324354,NaN
9.5,9.61051780003332,NaN,NaN
10,NaN,NaN,145.280504020725
20,8.77391995172367,9.9521588170798,NaN
25,NaN,NaN,164.011530940913
30,8.04829889762321,9.9145613287259,NaN
40,NaN,9.71500311845586,142.895334553226
45,8.80679115978828,NaN,NaN
55,NaN,8.72042294070337,145.277521460022
60,8.5960823826481,NaN,NaN
70,NaN,9.12722832040651,NaN
75,8.61469200847017,NaN,143.535328892953
90,NaN,8.53285103586585,NaN
95,6.75632096551126,NaN,141.438261828681
100,4.98343454077023,4.84407580208149,105.9829187702
150,NaN,NaN,68.7624840264935
