t,tpSTAT3_Obs,Compound_2_Obs,Compound_4_Obs
0,0.547176272660499,1.49758751080857,67.8480092871082
9.5,NaN,9.71061674600992,NaN
10,8.88993202144719,NaN,161.936873391081
20,NaN,9.50664816977652,132.29020092954
25,7.78348921300901,NaN,NaN
30,NaN,6.29749427807761,NaN
35,4.31010389715299,NaN,109.152243990645
40,NaN,3.94108806283976,NaN
45,NaN,NaN,91.2990546795585
50,1.39500565715995,NaN,NaN
55,NaN,2.254357703682,NaN
60,NaN,NaN,59.1671414909325
65,0.704282250882214,NaN,NaN
70,NaN,1.59029203112724,NaN
80,0.741515622554483,NaN,59.0952918870018
85,NaN,1.49943610538977,NaN
100,0.610799256202492,0.752272196233601,67.0947778785687
150,0.58513216520785,1.06513103112217,69.6435814564364
200,NaN,NaN,70.6183816473928
