t,input_il6,nSOCS3RNA5_Obs,Compound_1_Obs
54,0,-0.000246810392332574,61.3933255860063
54,0,-4.91342185769421e-05,68.4039014669694
54,0,0.000136510267002158,60.6279024818434
54,0,0.000474702090922455,61.445433611412
54,0,0.000505815728983445,67.8598089952747
54,0,0.000531113094903398,86.6339946442352
54,0.0005,-0.000324159975271514,76.9653564052833
54,0.0005,1.8405270828722e-05,74.3310234686178
54,0.0005,0.000114307101166593,66.2080047645569
54,0.0005,0.000685103367786361,64.0731553609478
54,0.0005,0.000871485618633604,61.5487667796997
54,0.0005,0.000975117644570316,62.1751137424798
54,0.005,-0.000169180338436639,75.123172884662
54,0.005,0.000643378113384993,70.0697232866373
54,0.005,0.000684588024223268,77.6150047414466
54,0.005,0.00114823160442812,73.1465829870375
54,0.05,-0.000204017877910575,83.2096834575465
54,0.05,0.000385708851813116,61.2886808820377
54,0.05,0.000515487842440824,68.7976381866416
54,0.05,0.000657655691404275,71.5852081207584
54,0.05,0.000748456337752017,63.5150405703708
54,0.05,0.000759551337836426,58.1226496219416
54,0.05,0.000909657720570459,65.9095619916306
54,0.05,0.0012175427001459,67.6362197044194
54,0.1,0.000192291409821175,77.7743458943013
54,0.1,0.000210481286370325,71.714352446813
54,0.1,0.000631891946829711,77.2418894325197
54,0.1,0.00152339136194635,75.2645255667687
54,0.5,0.000583112934955433,69.7619612411332
54,0.5,0.00125710894713963,78.8940105548666
54,0.5,0.00126620276327747,56.3781558195723
54,0.5,0.00145554628887902,56.0542120643035
54,0.5,0.00165658418731654,71.698516984276
54,0.5,0.00216308100717748,74.1693259815411
54,1,0.00113835393055721,74.8772355266915
54,1,0.00191732380691191,79.7160520298654
54,1,0.00202905159296578,65.6062478335075
54,1,0.00238413901593568,77.8109652516195
54,1,0.00245296500185554,81.1180536996148
54,1,0.00253140166977058,72.5168437373815
54,1,0.00253321024670159,74.7725553413318
54,1,0.00270394073503839,65.31887380289
54,2.5,0.00334883010591663,84.9333226860712
54,2.5,0.0036564333639185,81.6685692768641
54,2.5,0.00370819951203376,77.9404669089575
54,2.5,0.00376165307180674,88.1007622069339
54,2.5,0.00393259767373893,85.8127666896688
54,2.5,0.00464424291708983,90.2894326048663
54,5,0.00573457223601333,95.0218973536789
54,5,0.00583807120918561,105.30456009259
54,5,0.00620825701027437,87.1117117559702
54,5,0.00649897231709486,117.501481206606
54,5,0.00653218224226044,102.69054990229
54,5,0.00679536779275925,97.7383909343796
54,5,0.00742660587998293,96.2846623180863
54,5,0.00764518427956647,106.06561425391
54,10,0.00886616250187759,111.540445051674
54,10,0.00916099572683,116.222759149668
54,10,0.00935770161390899,119.94891166245
54,10,0.00941334190528466,111.566956125848
54,10,0.0094960590574972,115.874617855753
54,10,0.0100508011132057,118.749556001309
54,10,0.0101474036476551,125.844404104428
54,10,0.0103341110000541,113.240205097178
54,25,0.0127793835998358,134.945221507289
54,25,0.0137808048898931,141.757765165572
54,50,0.0150543846463067,134.539026524071
54,50,0.015185194654842,154.778510169341
54,100,0.0162977855893607,152.979253417594
54,100,0.0166859542005927,154.013079593083
54,100,0.0167023777857285,146.339083278515
54,100,0.0169246342725635,151.685948708281
54,100,0.0170666279994614,149.454833528489
54,100,0.0179776417855192,142.391411216128
54,200,0.0171880604267518,159.441596963491
54,200,0.017733844709747,154.606122504346
54,200,0.0177564144448633,159.264576345486
54,200,0.0178015759566689,150.982532730325
54,200,0.0179050311514374,149.812184146705
54,200,0.0179759254212472,147.447585281231
54,200,0.0179943133805809,150.950832543213
54,200,0.0181518274481471,158.240395035882
54,500,0.017633552107783,161.405315233038
54,500,0.0178625347441563,147.840732584227
54,500,0.0182030512624405,159.257317677217
54,500,0.0184149334399417,164.899636899302
54,500,0.0184407562249789,165.815403220285
54,500,0.0184633248110599,152.337987256744
54,500,0.0184693293118948,168.430535565621
54,500,0.0188849701127582,159.890505498745
