t,tpSTAT3_Obs,nSOCS3RNA1_Obs,Compound_2_Obs,Compound_4_Obs
0,0.257937089003804,0.000337626662223082,1.09659878771443,56.9537111977402
15,2.66219363333903,NaN,NaN,NaN
20,NaN,0.00520049843205039,4.03778799483899,100.119039713051
35,3.73288563262266,NaN,4.85568257438743,99.0333714150722
45,NaN,0.00687022173863577,NaN,NaN
50,3.31229774555163,NaN,NaN,NaN
55,NaN,NaN,4.45672144388082,92.0476867403859
65,NaN,0.00610670546978126,NaN,NaN
70,3.43770635496801,NaN,NaN,NaN
75,NaN,NaN,4.01570552079694,97.0883985718514
90,3.34348409826446,NaN,NaN,NaN
95,NaN,0.00690032495043741,NaN,NaN
100,3.39729568690262,0.00558757828079715,4.60393100513944,86.4660229731701
150,3.37436214962926,0.00664037881071776,4.6501771244688,101.467320855542
200,3.10463400755002,0.00567340894542574,4.18318050024158,94.9986590850436
250,3.43132627497502,0.00635193560370949,4.15213758818598,103.478589056955
300,3.36649424168032,0.00520226979018904,3.84655473619866,88.8574594319302
350,NaN,0.00540196039814969,3.83667352485556,NaN
400,2.68407939012903,NaN,NaN,84.5647583300751
450,NaN,NaN,3.81057021322553,NaN
