t,nSOCS3RNA5_Obs,Compound_1_Obs
0,-0.000114403800308188,77.4364583063187
15,NaN,142.273192655517
20,0.0101017917224389,NaN
25,NaN,124.982344224047
40,0.0134429477548267,135.889335468316
55,NaN,131.803588923613
65,0.0127116440609116,NaN
75,NaN,137.667741591901
90,0.0120407960288557,137.792809173682
100,0.0108745590391632,111.120632079037
150,0.0109497095399742,122.021431567189
200,0.0119311992428237,131.598535465144
250,0.010125248906208,115.672897852937
300,NaN,123.066780568318
350,0.0101290750173858,NaN
