t,tpSTAT3_Obs,Compound_2_Obs,Compound_4_Obs
0,0.785437201629832,0.913847295843493,54.6501461319052
10,NaN,7.63366656253832,NaN
15,7.85691139652551,NaN,144.49607472434
20,NaN,8.47815217981219,NaN
25,NaN,NaN,140.986475788705
30,8.07225443529962,NaN,NaN
35,NaN,7.78223847966484,NaN
40,NaN,NaN,141.598990008234
45,7.11856687067617,NaN,NaN
50,NaN,7.44277765650038,NaN
55,NaN,NaN,134.112618394016
65,7.01364140598186,8.25796854818411,NaN
70,NaN,NaN,133.554733052457
85,NaN,7.45711738216098,128.295850857407
90,6.99361193941504,NaN,NaN
100,7.60648199668383,7.64002090221302,127.770660867999
150,1.13915246708851,2.49674811703863,89.4928686060115
200,NaN,NaN,70.808599419969
250,NaN,NaN,68.8984379804699
