t,input_il6,STAT3_Obs,tpSTAT3_Obs,Compound_2_Obs,Compound_4_Obs
6,5,20.4528361934271,4.3450328085802,4.88764790892528,90.1004970434156
6,5,20.0839365874178,4.70822709505588,4.95204174178886,82.0229681880789
6,5,19.1224838693973,4.1367710369242,4.60970220270163,88.7470871618473
6,5,19.032106241701,3.13377695173387,6.02156388298304,95.8973129466489
6,20,16.0051381987613,6.55043757989091,6.36117974370239,103.111149210695
6,20,17.7835972823202,5.69127248241582,6.5054660295404,111.937556321692
6,20,19.0227232076232,5.92291013591066,6.95585962122002,111.832036681167
6,20,17.1611475170569,6.13046677569952,5.80371630183744,111.269174297544
6,40,24.9163353016869,0.705579677445872,2.25157327114391,73.5278251917846
6,40,23.2352191431276,1.77832787540411,1.72274660300879,86.0651324763231
6,40,21.8280439261015,1.62688628640674,3.12671921352467,78.3657062751563
6,40,20.1452089231221,1.44493357875146,3.46147034041656,77.1118502317596
6,90,13.6168699188866,7.59177528067124,8.75300373514567,132.135338688349
6,90,15.4034595070317,8.5988664992963,8.8078940871668,142.337525674932
6,90,12.7271034970545,8.2244560959325,8.36515843722792,128.450160608089
6,90,13.1277120111826,8.93158114858131,8.3853887894909,129.568997110741
