t,tpSTAT3_Obs,Compound_2_Obs,Compound_4_Obs
0,0.624199339515566,0.941953914157167,69.8391602683894
10,8.76113981411078,9.351456281928,149.056435906305
20,NaN,NaN,132.194446477773
25,5.11399465834479,5.61135479788514,NaN
30,NaN,NaN,96.4989377354282
35,2.70145379794019,NaN,NaN
40,NaN,2.52407332161873,NaN
45,NaN,NaN,84.9143862179199
50,0.92729822690215,NaN,NaN
55,NaN,1.97014011634669,65.208934556838
65,0.533353871636027,NaN,NaN
70,NaN,1.23423931958773,62.5555341174303
80,0.409981334579559,NaN,NaN
90,NaN,1.55039696711636,61.8952967179886
100,0.458185327122892,1.63135267102073,62.4957360470903
150,0.576660481955254,1.16925787623922,73.5310277671645
200,0.581093342194045,1.14008047909928,NaN
