t,IRins_Obs,IRiP_Obs,IRi_Obs,IRSiP_Obs,XX_Obs
0,1.22957800480373,-3.45863783901336e-05,-0.420871446251435,0.171842040851698,8.55086323860526
2,NaN,NaN,NaN,1.18766879271594,NaN
2.5,9.10343321393321,NaN,NaN,NaN,NaN
3.5,NaN,NaN,NaN,1.13662017334611,NaN
4,NaN,NaN,1.23037377548639,NaN,10.5075367474939
5.5,7.50352490575147,0.000287711096509633,NaN,0.66071016397783,NaN
8,3.70731563441149,NaN,NaN,0.535804388180358,7.96686468693674
8.5,NaN,NaN,6.02604322262354,NaN,NaN
10,6.11241599622808,0.000306716317648127,NaN,0.753478187616517,15.2512280243667
15,5.50538821542744,NaN,4.4457242894781,1.19648560204307,10.7443817710952
20,3.34029079338424,0.000272692394355827,6.64245743628074,0.634096819713683,10.296477202829
25,4.27027802572278,0.000244917584239275,5.66448263938262,0.551149827739167,8.14804465593086
30,NaN,NaN,9.37347063976326,1.07659126630602,NaN
35,3.30144249035441,0.000200839388974934,NaN,NaN,11.2870570707333
40,0.97429162673144,NaN,7.05560835486904,NaN,11.7486185681191
45,2.21550675498359,0.000153215678638283,8.22037463743944,NaN,NaN
50,NaN,NaN,NaN,NaN,13.2774459961978
55,2.91117492778055,0.000149846312358207,NaN,NaN,NaN
60,NaN,NaN,7.60805596182628,NaN,8.94733664070434
70,NaN,0.000253259971726019,8.75881761407708,NaN,5.10448049347024
