t,IRins_Obs,IRi_Obs,IRSiP_Obs,XX_Obs
0,0.878111839798035,0.640011705931213,0.461405182477859,8.39230342435894
0.55,NaN,NaN,NaN,10.9827935340002
1,1.11249499235925,NaN,NaN,8.08129617405445
1.5,NaN,-0.117606114490459,1.35359297897365,10.3202383022964
2,3.32331161902393,NaN,NaN,NaN
2.5,NaN,NaN,0.770637352666145,13.6302243253059
3,NaN,0.673375475758736,NaN,8.66148608187188
3.5,1.87265941809503,NaN,NaN,NaN
4,NaN,NaN,1.23757147621249,13.0685012237395
4.5,6.31192124877686,0.613740026817857,NaN,14.0141365405015
6,6.84212228494393,1.3035645243308,1.41931362029949,10.3741603442554
7,NaN,NaN,NaN,12.4889694573537
7.5,6.59570654914022,1.91436978113072,1.46440804287485,NaN
8.5,NaN,NaN,NaN,7.38902555227202
9,8.80849848570904,NaN,NaN,NaN
9.5,NaN,NaN,1.0748620780168,NaN
10,5.48336304544509,2.44494874923113,1.03593081710069,NaN
15,5.86705991132855,4.52555061112361,1.408674727413,NaN
20,5.13845336369207,3.98568488128844,1.18657364787959,NaN
