t,EpoRpJAK2_Obs,Compound_1_Obs
0,-0.00992763406060969,116.414723511017
6.5,0.0952961726400536,NaN
8,NaN,51.4045956874159
15,0.0416894538343721,91.247380580841
20,0.0609221357021449,NaN
25,NaN,58.66402037292
30,0.0460849688438368,NaN
35,0.0605521614802678,90.1075337926537
45,0.0490911666654087,83.9798640101439
55,NaN,75.0744664293451
60,0.0466541993811468,NaN
70,NaN,87.6472484948731
75,0.04132032728167,NaN
85,NaN,81.8316800466683
90,0.052302219827474,NaN
100,0.0543707241780647,112.651990385844
150,NaN,70.5306004031345
