t,EpoRpJAK2_Obs,Compound_1_Obs
0,0.00327409429290772,92.0044887923103
6.5,0.0756264316707152,NaN
7,NaN,85.9175470086019
15,0.067661095414981,63.2550068527759
20,0.0618533957319482,73.7218641073416
30,0.0650241554928356,71.5662872269109
35,0.0532365185889516,NaN
40,NaN,75.2238057500848
45,0.0500108664687252,69.539289834792
60,0.0579511577478543,84.8255849149808
70,0.054813494145942,91.0043351161114
85,0.0499304136897201,100.631157920325
100,0.0561695628539653,92.6449311770414
150,NaN,97.6980873433786
