t,EpoRpJAK2_Obs,Compound_1_Obs
0,-0.117230927546574,5.95577649917747
15,0.0794088457180533,3.35885068143505
30,0.443571015225201,5.37601781746988
45,0.442359138567063,2.94748927932183
60,NaN,3.15240711471959
65,0.427087688287105,NaN
75,NaN,2.85679958024772
85,0.320900864124349,NaN
95,NaN,4.94553399804876
100,0.372902066376637,5.63058637883588
150,0.387137378680501,5.24897572983347
200,0.336639853046351,5.87718947316703
250,0.455566077384271,7.14229934469326
300,0.215206622560149,4.23519662749465
