t,epo_level,EpoRpJAK2_Obs
15,2.5e-09,-0.0196174198925823
15,2.5e-09,-0.00801318584484504
15,2.5e-09,0.00596947534078822
15,7.905e-09,0.0412536699120105
15,1.25e-08,-0.0202733133737633
15,1.25e-08,-0.00932281790945316
15,1.25e-08,0.00699857904726677
15,1.75e-08,0.0126018478513833
15,1.75e-08,0.0426620417397807
15,1.75e-08,0.0478470004568134
15,2.5e-08,0.00737310125088296
15,3.95e-08,0.0676970844702872
15,7.9e-08,0.052587609540342
15,7.9e-08,0.0574144113872388
15,7.9e-08,0.0701187529089481
15,1.25e-07,0.0527461340693674
15,1.7675e-07,0.0959400711681625
15,1.7675e-07,0.110648783942203
15,1.7675e-07,0.116624674097963
15,2.5e-07,0.100072843445403
15,2.5e-07,0.109816499999878
15,2.5e-07,0.161627323941308
15,7.905e-07,0.343370315464233
15,2.5e-06,0.675553781390211
15,2.5e-06,0.676972339198251
15,2.5e-06,0.699342834046312
