t,EpoRJAK2_Obs,EpoRpJAK2_Obs,Compound_1_Obs
0,5.06735121267621,-0.0130198319741798,88.3034818905263
15,3.95844745668373,NaN,46.205436842332
30,1.76988347146916,NaN,40.0709602253369
40,NaN,0.0602697748675554,NaN
50,4.41065794699658,NaN,15.716367783048
65,4.31843390554437,NaN,NaN
70,NaN,NaN,30.9046784741009
80,NaN,0.0701629353882284,NaN
85,3.752640226737,NaN,NaN
90,NaN,NaN,92.0513075492396
100,7.44630215386926,0.0750691372588896,75.0794117468851
150,5.40699975962872,0.0631747731406867,84.2121994229135
200,4.72815054925832,NaN,91.952503239985
250,2.53837454000821,0.0449329376932581,51.0678590832934
300,NaN,0.0625076718435602,NaN
