t,epo_level,EpoRJAK2_Obs
56,2.5e-09,4.29024370712601
56,2.5e-09,3.23446813484505
56,2.5e-09,4.4182243922876
56,2.5e-08,4.20357648052682
56,2.5e-08,3.34197122542517
56,2.5e-08,4.11058774296673
56,1.25e-07,3.19261009632819
56,1.25e-07,3.20323607309882
56,1.25e-07,3.56328441986063
56,2.5e-07,3.96508490148425
56,2.5e-07,3.0994003057954
56,2.5e-07,3.38466571952605
56,1.25e-06,4.22334140456979
56,1.25e-06,5.41121261847245
56,1.25e-06,4.3997748750674
56,2.5e-06,4.13420548452748
56,2.5e-06,4.43646525051587
56,2.5e-06,3.96995678917361
