t,EpoRpJAK2_Obs,Compound_1_Obs
0,0.00454753802159178,96.4482803021102
6,NaN,56.2138644660362
7,0.0697500596329275,NaN
10,NaN,16.6823612498495
15,0.061923356312231,NaN
20,0.0800279913074218,19.8955231627336
25,NaN,20.9371554015102
30,0.0694450711120885,NaN
35,NaN,28.107928366657
40,0.0667651857632562,19.8849123441654
50,0.065793058926001,NaN
55,NaN,45.364847011678
60,0.0534823162181236,NaN
65,NaN,54.878310851023
75,0.0577643577012786,NaN
80,NaN,74.3746137612007
90,0.0634090980814845,NaN
95,NaN,80.6162247875051
100,0.0727972503243206,86.2097933828874
150,0.060948581434886,NaN
