t,epo_level,EpoRpJAK2_Obs
7,0,-0.0100262521793239
7,0,0.0368058949252835
7,4.2857e-08,-0.022437620001332
7,4.2857e-08,-0.00854275794418909
7,1.4286e-07,-0.00350492652226952
7,1.4286e-07,0.037481650939207
7,4.2857e-07,0.0261500275145722
7,4.2857e-07,0.0366688137347432
7,1.4286e-06,0.0636098606612577
7,1.4286e-06,0.0846086900884254
7,4.2857e-06,0.131864648977052
7,4.2857e-06,0.177277433103388
7,1.4286e-05,0.103284862171952
7,1.4286e-05,0.106051072589102
7,4.2857e-05,0.0693568156092947
7,4.2857e-05,0.0698165889125498
