t,JAK1_gp130_Obs,SOCS3_Obs,Compound_1_Obs,Compound_2_Obs
0,0.353666190161753,1.52908422205387,30.4481117538541,49.102570050943
6.5,NaN,NaN,28.8856215536491,NaN
8.5,NaN,1.59677497563255,NaN,NaN
9,NaN,NaN,NaN,63.1979635817887
15,0.231046380438731,1.5075517921138,119.270281753997,NaN
20,NaN,NaN,113.160902344578,116.591712079281
25,NaN,48.4586719913619,NaN,NaN
30,-0.0145931183907137,NaN,174.444653782285,168.440973887815
35,NaN,126.703929665044,NaN,NaN
40,NaN,NaN,189.620879602535,196.230463871223
45,0.000503414101471942,NaN,NaN,NaN
50,NaN,85.597825061029,131.403125844412,NaN
55,NaN,NaN,NaN,98.2801936330494
65,0.0256546082761805,17.2355489298773,54.1394247759464,NaN
70,NaN,NaN,NaN,41.1165713610836
80,NaN,-3.59665107691139,12.9860253587385,NaN
85,0.0198908127158961,NaN,NaN,NaN
90,NaN,NaN,NaN,39.6155034238262
95,NaN,NaN,7.87168352405376,NaN
100,0.0806092047932094,0.184211454990072,NaN,44.278354633281
150,0.0191442816396958,NaN,NaN,NaN
200,0.0685996442434317,NaN,NaN,NaN
