t,input_il6,JAK1_gp130_Obs
10,0.1,0.412503551688277
10,0.1,0.387714227768318
10,0.1,0.327579136632837
10,0.1,0.39481210955253
10,1,0.362738908443946
10,1,0.359168331567063
10,1,0.303915832026372
10,1,0.406338373901521
10,5,0.331563861074081
10,5,0.336764359921579
10,5,0.364793437245705
10,5,0.302215651288618
10,10,0.210309089870785
10,10,0.168772677695499
10,10,0.154109990895665
10,10,0.212590676003922
10,50,0.387763505720555
10,50,0.353042811743839
10,50,0.373178968400948
10,50,0.3612452620813
10,100,0.315039126588602
10,100,0.272015516768635
10,100,0.279450803347374
10,100,0.293831062596799
10,500,-0.0169936376993597
10,500,0.0340858717729607
10,500,0.0411253987907725
10,500,-0.00964839135640579
