t,JAK1_gp130_Obs,SOCS3_Obs,Compound_1_Obs,Compound_2_Obs
0,0.375716475583008,0.324697204601963,23.9617975653462,48.9648503083729
7.5,NaN,2.07914235055735,NaN,NaN
8.5,NaN,NaN,36.7960648692744,NaN
9,NaN,NaN,NaN,57.3346592613695
15,0.299365809779171,3.09885021447222,58.8453914465276,NaN
20,NaN,NaN,NaN,86.0238617371518
25,NaN,13.6667318741136,59.7798112771581,NaN
30,0.0155009444697159,33.8315355326294,NaN,99.5444005966766
35,NaN,NaN,85.3788509324384,NaN
40,NaN,55.963318246004,NaN,100.980014145749
45,-0.00818282363663976,NaN,NaN,NaN
50,NaN,NaN,62.6449224134379,93.6752185511211
55,NaN,28.3982874270505,NaN,NaN
60,0.0105227630678916,NaN,NaN,NaN
65,NaN,10.325254233867,26.2947968612469,47.5935049602505
80,0.0296509822075781,-0.224312069582667,20.6420491747197,55.5874532208223
100,0.0863871035315706,-1.02766178731498,29.9313755537505,29.6730776676976
150,0.0330199638303119,NaN,NaN,NaN
200,0.12935248717528,NaN,NaN,NaN
