t,input_il6,JAK1_gp130_Obs
1200,0.1,0.360663364867225
1200,0.1,0.362694039772018
1200,0.5,0.27029472962024
1200,0.5,0.303147051963769
1200,1,0.23720089783987
1200,1,0.243503012280867
1200,2.5,0.200296986891861
1200,2.5,0.212542705306918
1200,5,0.142402534250835
1200,5,0.148492276784072
1200,10,0.0660556478544537
1200,10,0.0767677691711047
1200,25,0.020116555261883
1200,25,0.027215517261428
1200,50,0.00037575957391184
1200,50,0.0267235180667594
1200,100,-0.0097639278722767
1200,100,0.0142092229233571
1200,500,-0.00189220625249285
1200,500,-0.000945267738165251
