t,JAK1_gp130_Obs,SOCS3_Obs,Compound_1_Obs,Compound_2_Obs
0,0.371858847604662,-1.53508060974601,49.0695624914092,39.3174335189605
7,NaN,NaN,41.4556716835762,NaN
7.5,NaN,-1.05558072519993,NaN,NaN
8,NaN,NaN,NaN,103.929270064123
15,0.144599491027895,2.21345140603821,142.619632615832,207.45142475852
20,NaN,NaN,168.592388592717,NaN
25,NaN,122.75850578066,NaN,279.836098336587
30,-0.000634214610837271,NaN,366.309316806499,NaN
35,NaN,266.595420689903,NaN,358.677362103557
40,NaN,NaN,341.071134781914,NaN
45,0.00810006861488082,195.620674120743,NaN,261.289127106052
50,NaN,NaN,168.84561912744,NaN
55,NaN,99.1538221426622,NaN,NaN
60,NaN,NaN,NaN,94.9010916393188
65,0.00968201042332326,NaN,36.0487815835577,NaN
70,NaN,26.8851986967381,NaN,NaN
75,NaN,NaN,NaN,57.4191478382192
80,NaN,NaN,19.4895047984656,NaN
85,0.00854242078274221,5.51830612058554,NaN,NaN
95,NaN,NaN,-4.91911323400869,33.4600697057275
100,0.0297239437980313,0.968368019533919,NaN,54.2470863104447
150,0.0226149307058531,NaN,NaN,NaN
200,0.0410529494199856,NaN,NaN,NaN
