t,JAK1_gp130_Obs,SOCS3_Obs,Compound_1_Obs,Compound_2_Obs
0,0.368600876864,1.43924046689059,20.378920964069,33.475117267675
8,NaN,NaN,NaN,45.191561740686
9,NaN,-0.158992627829123,NaN,NaN
10,0.320202362815976,NaN,25.0930015059384,NaN
15,NaN,NaN,NaN,51.4531552143239
20,NaN,-0.190352113104588,NaN,NaN
25,0.209888964098963,NaN,38.4315935207035,56.468779791741
30,NaN,7.9375569377561,NaN,NaN
35,NaN,NaN,NaN,62.490208172434
40,0.0168612647426456,19.9046247264387,37.6159512880749,NaN
45,NaN,NaN,NaN,59.149242322945
50,NaN,18.2046658943392,NaN,NaN
55,0.00406471294170924,NaN,34.8715085256999,53.2125073151979
65,NaN,5.23117636492785,NaN,NaN
70,NaN,NaN,NaN,45.085987320095
75,0.0849566679118581,NaN,23.3746714716107,NaN
80,NaN,1.08937391328368,NaN,NaN
90,NaN,NaN,NaN,41.7428202332365
95,0.110328669541041,NaN,12.7826835865897,NaN
100,0.111641865078864,-0.45306490975463,23.7433693625083,36.609044568575
150,0.0804408975870582,4.39741883200903,22.5940215577366,NaN
