t,input_il6,Compound_1_Obs,Compound_2_Obs
6,5,25.1557800426821,51.7247721557614
6,5,22.4375581052917,44.9942778518079
6,5,32.0548703863218,38.8999083376939
6,5,20.6801490583713,38.4720161032477
6,20,40.3717441034402,40.6004897512363
6,20,32.8953161994565,45.6172991362358
6,20,30.523744114538,45.6650005213007
6,20,32.7507454404504,40.1711934528745
6,40,27.1186607902256,45.5335283706648
6,40,22.3389468679587,34.434598828499
6,40,27.2777673516649,33.5169039265188
6,40,22.2549883352696,39.4062272601358
6,90,57.9085298329495,73.4764504507755
6,90,56.2775874318299,73.1992413030124
6,90,66.3211315403805,63.8303219526968
6,90,57.1349705655077,76.6411358344678
