t,input_il6,JAK1_gp130_Obs
30,0,0.405016567288046
30,0,0.383518190437606
30,0.0005,0.363438471615047
30,0.0005,0.392015027925176
30,0.0005,0.373640700546555
30,0.0005,0.384815367938075
30,0.0005,0.331603579391136
30,0.0005,0.342867438721038
30,0.0005,0.403996513617719
30,0.0005,0.385943171134192
30,0.005,0.378114451108845
30,0.005,0.376436024616985
30,0.05,0.401002306999274
30,0.05,0.359063702518319
30,0.05,0.372171732366337
30,0.05,0.393595574513202
30,0.05,0.34830028538516
30,0.05,0.300326013619055
30,0.1,0.366196454930922
30,0.1,0.383553642097911
30,0.1,0.355463039569651
30,0.1,0.368994111125042
30,0.1,0.35098575745479
30,0.1,0.357669535085123
30,0.1,0.356391757907267
30,0.1,0.345424588466444
30,0.5,0.362718650186643
30,0.5,0.373192649307619
30,0.5,0.356668004818635
30,0.5,0.360980895197546
30,0.5,0.356311317235356
30,0.5,0.404162099590276
30,0.5,0.350856723296128
30,0.5,0.355516553775648
30,1,0.378156040384653
30,1,0.370225826419933
30,1,0.40964596485888
30,1,0.37047018270399
30,2.5,0.0922951910864486
30,2.5,0.144112143234825
30,5,0.116321766885215
30,5,0.11506754664615
30,5,0.201026071782406
30,5,0.11014770163777
30,10,-0.00904027026100861
30,10,0.0320380959711844
30,10,0.0488723763605078
30,10,0.0408512822833604
30,10,0.0590261592150968
30,10,-0.00406168824829
30,25,0.357121340373441
30,25,0.299604062028946
30,25,-0.0514712068232339
30,25,0.0078899009581629
30,50,-6.3276979873619e-06
30,50,-0.0457862608705825
30,50,-0.0282965643335931
30,50,-0.00574643670423259
30,50,0.012972145096125
30,50,0.0216796189895317
30,100,0.085130956514516
30,100,-3.21246012959745e-05
30,100,0.258520083093781
30,100,0.276051096347399
30,100,0.315917544652263
30,100,0.248784676600626
30,200,-0.0362149150099695
30,200,0.019001718817899
30,200,0.0309898409404783
30,200,0.0251493189422001
30,200,-0.0113101043155348
30,200,0.0129862742328286
30,500,0.00930490868794601
30,500,-0.010673019008079
30,500,0.0290353378868958
30,500,0.0161726734411922
30,500,-0.029788970758158
30,500,-0.0337922890180176
