t,input_il6,Compound_1_Obs,Compound_2_Obs
0,2.5,17.2188382706617,39.1275575940835
0,2.5,18.2239989542978,39.1154414306418
0,2.5,20.6953767796536,36.507420243763
0,2.5,21.5795533524806,37.3481810914204
0,2.5,21.9138984438577,33.2297601755326
0,10,18.6691912359369,35.5043591466641
0,10,19.1827685422861,36.9387413327483
0,10,20.9378689678586,37.937201209102
0,10,21.3657299235648,31.3819814785758
0,10,21.8666462118014,42.8966988625998
0,60,18.4963807681953,37.2834888996508
0,60,19.4918593154799,29.7773911746026
0,60,21.4222812258809,37.3859705084341
0,60,22.1421857025496,45.1889159056855
0,60,23.9502738597497,43.694747315389
0,120,19.3434717763247,43.2814511640219
0,120,20.6372754030264,28.4765486568725
0,120,21.7549822324284,37.6282643223811
0,120,23.1315279659667,39.5486721050863
0,120,24.105682552737,37.0949809313965
