t,input_il6,SOCS3_Obs
1100,0.1,-0.394673031810025
1100,0.1,0.20188449183178
1100,0.5,0.13420298003134
1100,0.5,0.395929686233524
1100,1,-0.0293805084997845
1100,1,0.0935124694675377
1100,2.5,-0.251136833335868
1100,2.5,0.396286394857322
1100,5,0.146263839541604
1100,5,0.440731655660439
1100,10,0.435485875996067
1100,10,1.13411835034827
1100,25,1.54404695384792
1100,25,2.07409793086284
1100,50,-0.498589337382991
1100,50,0.336872585286829
1100,100,-0.160761104269302
1100,100,0.101263176097274
1100,500,16.592684517027
1100,500,17.5673904505119
