t,JAK1_gp130_Obs,SOCS3_Obs
0,0.373899658231093,0.167798741867325
5,NaN,0.174915377195677
10,NaN,0.163262303679342
15,NaN,0.157937015822582
20,NaN,0.12889367480187
25,0.115691209718277,0.114878660603602
35,NaN,0.0544094991523215
40,NaN,0.0521064841839988
50,0.0843963679325461,0.000969772343990368
60,NaN,0.010449422016902
70,NaN,0.0108639134759362
75,0.0638859264270096,NaN
85,NaN,0.0223740329273806
100,0.0561425509925377,0.00179577792906103
150,0.0464164387727889,NaN
200,0.0184642964012158,NaN
250,0.0203156306272953,NaN
300,0.0194777517422971,NaN
350,0.00734380874735194,NaN
450,0.00225203203942836,NaN
