t,Uptake1_Obs,Compound_1_Obs
0,-0.165972808299664,71.7427375179334
8.5,NaN,90.4568371539686
10,0.50010379538294,NaN
15,NaN,57.3237249051833
20,0.457717464691553,NaN
25,NaN,73.9764182640504
35,0.603417662997583,102.660693395213
45,1.37902620670528,111.041293209134
60,1.40521567770973,64.5814105688542
70,NaN,60.7353380274881
75,1.44316050663953,NaN
90,NaN,89.4596503111945
95,1.61520908006726,NaN
100,1.60161126797876,168.237771150633
150,1.8765206187683,89.3403436185979
200,2.42014875041313,75.5429191311287
