t,Ins_Obs,IR1in_Obs
0,0.0969328343376709,0.0002460160487745
3.5,0.0212916235107297,NaN
7.5,0.0288498535243933,NaN
10,0.0170042173401555,0.000141625074445291
15,0.00655225862681059,NaN
20,0.00735856831325947,0.000562416363132267
25,0.0101923972613049,NaN
35,0.0150628644223739,0.000517209563241216
40,0.0177120375225119,NaN
45,NaN,0.00141655591455731
50,0.0104637310289725,NaN
60,0.0209757035916095,0.000836188738083055
80,NaN,0.00103075249817845
95,NaN,0.00131176213614233
100,NaN,0.00101334631736832
150,NaN,0.00102938365936944
200,NaN,9.78413920430719e-05
