t,Ins_Obs,IR1in_Obs
0,1.01053925830217,0.00174080100347051
4,0.117447144518398,NaN
8.5,0.105715730207856,NaN
10,NaN,0.00475719708953026
15,0.17977820945917,NaN
20,0.160184182680014,0.00403057007726068
25,0.102037963218215,NaN
30,0.086259319524064,NaN
35,NaN,0.00947567538530593
40,0.10613593027593,NaN
45,NaN,0.00706212064802173
50,0.0907466936637349,NaN
60,0.115606898446668,0.00971683485814468
80,NaN,0.0108992983416403
95,NaN,0.00944879072096943
100,NaN,0.0109952394137902
150,NaN,0.00973476793091299
200,NaN,0.00785341136168452
