t,Uptake1_Obs,Compound_1_Obs
0,3.57367752687625,62.8152415747564
8,NaN,25.6648744266231
9.5,26.3766468983608,NaN
15,NaN,55.6491994964555
20,71.5162439427679,NaN
25,NaN,26.7562618531559
30,53.2126979205487,NaN
35,NaN,25.6354618203201
40,60.467888356204,NaN
45,NaN,33.2065203001699
55,71.9612033194782,48.6183936477445
65,58.2807465179697,NaN
70,NaN,19.4908382068372
85,58.2427603359798,35.7513759778623
100,20.9010117041647,51.0694627195389
150,100.073212610813,36.3812914506624
200,113.491259034583,50.3772438402397
