timepoint,Glu_Obs,Ind_Obs
0,9.55329351029256,-0.0421590892844221
100,10.0253814597534,NaN
250,9.36597688995275,NaN
350,8.9681062657638,NaN
450,NaN,-0.0177551392903428
500,8.12425545848884,NaN
650,7.38934335129828,NaN
800,6.47524045088819,NaN
900,NaN,0.121899289777026
950,5.08236241582862,NaN
1000,3.24888396208702,NaN
1500,1.03230200708329,0.812434736127699
2000,-0.509741285012993,0.825070677273878
2500,-1.09897642486429,0.684660137129768
3500,NaN,0.352408111641832
4000,NaN,0.281057125385331
5000,NaN,0.22704404725427
6500,NaN,0.073957487302296
8000,NaN,0.113779776407021
