timepoint,Glu_Obs,Ind_Obs
0,10.8744100594701,0.00390773116502792
400,10.3113641413104,NaN
450,NaN,0.00649162900951925
850,9.50184892364529,NaN
900,NaN,-0.0244138009424951
1500,9.49937853505278,0.037248194523233
2000,7.59490351022565,0.146920888032424
2500,7.41883556041095,0.26149353889042
3000,6.28441197741124,0.291420868653168
3500,3.71700104952548,NaN
4000,NaN,0.267171575466762
4500,3.9238269937785,0.245893742072546
5000,3.45197202453165,NaN
5500,NaN,0.184741734156049
6000,1.73253103454557,NaN
7000,NaN,0.0940725470232431
7500,0.165411454966429,NaN
8000,NaN,0.0558512138104296
8500,1.04448405370102,NaN
