timepoint,Glu_Obs,Ind_Obs
0,10.0136810617153,-0.0108521065921053
350,11.0047948926617,NaN
450,NaN,0.0292272795607075
750,10.7592139199923,NaN
900,NaN,-0.02534910227454
1000,11.2148108287576,NaN
1500,8.56478242659636,0.0208907312019079
2000,10.8801108784482,0.0214708072444609
2500,9.15420378556825,0.0776746746138456
3000,8.2311342493728,0.16253654409548
3500,8.49474104596901,0.260024446047959
4500,5.47917368890625,0.287395515064834
5000,NaN,0.272968677394896
5500,1.99011204749333,NaN
6000,NaN,0.188625568954381
6500,1.92260809825568,NaN
7500,1.1669933917906,0.0801233853632614
8500,NaN,0.0516598321670567
