timepoint,Glu_Obs,Ind_Obs
0,10.0541404669162,0.000238136965227778
40,-0.112257908164108,NaN
80,0.18826567476272,NaN
100,0.12260477125146,NaN
150,0.0605579973204248,NaN
250,-0.0406191269468068,NaN
300,0.177750763909572,NaN
350,0.196426866008887,0.00626434664529208
450,-0.0407521321846428,NaN
700,NaN,0.00597431774635307
1000,NaN,0.00506657780235066
1500,NaN,0.00383606110939804
2000,NaN,0.00476685443044161
2500,NaN,0.00295217871303283
3000,NaN,0.00293865432364196
3500,NaN,0.00269624263109814
4500,NaN,0.00251404295467988
5500,NaN,0.00122101104446705
6500,NaN,0.0018744034974561
