timepoint,Glu_Obs,Ind_Obs
0,9.92172429733644,-0.00778751657739407
350,NaN,0.0166204197647077
400,9.99410448205585,NaN
750,NaN,0.0356782936647043
800,9.31741357137315,NaN
1000,8.19200534548428,0.0145730067311587
1500,10.0089052863173,0.0695410330677448
2000,8.73362596365015,0.200670484832737
2500,NaN,0.322225844032994
3000,4.56259486171676,0.375166267380116
3500,4.46615142530604,NaN
4000,4.40182934012341,0.294835648960776
4500,NaN,0.245649117094142
5000,3.37314981716691,NaN
5500,NaN,0.15594952775277
6500,2.22298039255956,NaN
7000,NaN,0.0433047575660095
7500,0.184334710802725,NaN
