timepoint,Glu_Obs,Ind_Obs
0,10.0466716027993,-0.000136656156733667
40,0.0567168466332914,NaN
80,-0.0291687234349075,NaN
100,0.174912549336766,NaN
150,-0.187113037480582,NaN
200,0.0415671085308863,NaN
300,0.00264909283433786,NaN
350,-0.0274969400607739,0.00685969247336191
450,-0.052962289143602,NaN
750,NaN,0.00595674373978591
1000,NaN,0.00650320785016122
1500,NaN,0.00474440099015415
2000,NaN,0.00397757153310937
2500,NaN,0.00320944872378484
3000,NaN,0.00345319497540952
3500,NaN,0.00319054137614581
4500,NaN,0.00216082220268976
5000,NaN,0.00206605251558297
6000,NaN,0.00176543154329444
7000,NaN,0.00106887688196683
