timepoint,Glu_Obs,Ind_Obs
0,10.6158443105224,0.0346189171438488
250,9.44611419862042,NaN
400,NaN,0.0262466539127769
450,9.3782458728644,NaN
700,8.55234004315878,NaN
800,NaN,0.00736420210640227
1000,7.42980261901811,NaN
1500,4.02522425713649,0.214327524928181
2000,2.01920134827445,NaN
2500,0.279457866493867,0.871363832112078
3000,-0.228683395560529,0.684107942089744
3500,NaN,0.512205309646399
4000,-0.0203024022858366,NaN
4500,0.488293695274065,0.227128064656684
5500,-0.46438202543426,0.159231778775628
6500,NaN,0.106686191002546
8000,NaN,0.12252573971427
