timepoint,Glu_Obs,Ind_Obs
0,9.83145052579241,0.000231124972844771
40,-0.121242934524101,NaN
80,-0.131528719402163,NaN
150,-0.0756933066873608,NaN
200,0.05788756870965,NaN
250,-0.307115848259513,NaN
300,-0.215875654067691,NaN
350,NaN,0.00666708305150525
400,-0.141904744133577,NaN
700,NaN,0.00631281606357617
1000,NaN,0.00566059555582689
1500,NaN,0.00496226756385758
2000,NaN,0.00407996459550068
2500,NaN,0.00377708231384066
3000,NaN,0.00282143449364355
3500,NaN,0.00286372920377929
4500,NaN,0.00216121913645813
5500,NaN,0.00175210286153367
6500,NaN,0.00166250519268824
